,name,company_url,locality,rating,hourly_rate,min_project_size,employee_size,contact
33,Azumo,https://azumo.com/growth/software-development-leader?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"San Francisco, CA",4.8,$25 - $49 / hr,"$25,000+",50 - 249,4156107002
34,8base,https://www.8base.com/services/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Coral Gables, FL",4.6,$50 - $99 / hr,"$25,000+",10 - 49,4158422048
35,A3logics,https://www.a3logics.com/mobile-app-development-company,"Carlsbad, CA",4.9,$25 - $49 / hr,"$10,000+",250 - 999,+15107268978
36,Konstant Infosolutions,https://www.konstantinfo.com/?request-a-quote&utm_source=clutch.co&utm_medium=referral&utm_campaign=ClutchDMG,"Jaipur, India",4.8,< $25 / hr,"$5,000+",50 - 249,+1-310-933-5465
37,Halcyon Mobile,https://halcyonmobile.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=top-mobile-app-development-companies,"New York, NY",4.9,$50 - $99 / hr,"$25,000+",50 - 249,+1 650 924 9023
38,Wolfpack Digital,https://wolfpack-digital.com/?utm_source=clutch&utm_campaign=directory-mobile-application-developers,"Cluj-Napoca, Romania",5.0,$50 - $99 / hr,"$25,000+",50 - 249,+40752821508
39,3Advance,https://3advance.com/?utm_source=clutch.co&utm_medium=referrall&utm_campaign=directory-mobile-application-developers,"Washington, DC",5.0,$100 - $149 / hr,"$25,000+",10 - 49,2027093238
40,Zazz,https://www.zazz.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Seattle, WA",5.0,$50 - $99 / hr,"$25,000+",10 - 49,1800-315-8144
41,Promatics Technologies,https://www.promaticsindia.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Gurugram, India",4.9,< $25 / hr,"$10,000+",50 - 249,+91-788-8492652
42,Glance,https://thisisglance.com/top-mobile-app-development-company-on-clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"London, United Kingdom",4.8,$100 - $149 / hr,"$75,000+",10 - 49,020 3026 4435
43,Digiruu,https://www.digiruu.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=app-developers,"London, United Kingdom",4.9,$50 - $99 / hr,"$50,000+",2 - 9,02031954456
44,Andersen Inc.,https://andersenlab.com/services/mobile-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=catalog&utm_campaign=mobile-application-developers,"New York, NY",4.9,$25 - $49 / hr,"$25,000+","1,000 - 9,999",+1-800-967-7762
45,Apptension,https://www.apptension.com/services/mobile-development?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Poznań, Poland",4.8,$50 - $99 / hr,"$25,000+",50 - 249,+1 (213) 349-4722
46,mDevelopers,https://mdevelopers.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Warszawa, Poland",5.0,$25 - $49 / hr,"$25,000+",10 - 49,+48 502-383-053
47,OTAKOYI,https://otakoyi.com/?utm_source=clutch.co&utm_medium=referral,"L'viv, Ukraine",4.8,$25 - $49 / hr,"$25,000+",50 - 249,380985638190
48,Blue Whale Apps,http://www.bluewhaleapps.com/?utm_source=sourcingline&utm_medium=cpc&utm_campaign=SL,"Herndon, VA",5.0,$100 - $149 / hr,"$50,000+",10 - 49,571-294-6158
49,Tapston,https://tapston.com/?utm_source=clutch.co&utm_medium=referral,"Budva, Montenegro",5.0,$25 - $49 / hr,"$25,000+",50 - 249,+375296547303
50,Small Planet,http://smallplanet.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"New York, NY",4.8,$100 - $149 / hr,"$100,000+",10 - 49,718-797-5659
51,Clarika,https://www.clarikagroup.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"New York, NY",4.8,$25 - $49 / hr,"$10,000+",50 - 249,(646) 443-6740
52,Softensy,https://softensy.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Dnipropetrovs'k, Ukraine",5.0,$25 - $49 / hr,"$5,000+",10 - 49,+380 95 873 25 48
53,hedgehog lab,https://hedgehoglab.com/?utm_source=clutch&utm_medium=global_developers_list&utm_campaign=clutch,"Newcastle upon Tyne, United Kingdom",4.7,$100 - $149 / hr,"$100,000+",50 - 249,03332423132
54,NineTwoThree Venture Studio,http://www.ninetwothree.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Danvers, MA",4.9,$50 - $99 / hr,"$100,000+",50 - 249,5406923923
55,Zco,https://www.zco.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Nashua, NH",4.8,$25 - $49 / hr,"$10,000+",250 - 999,6038819200
56,Mutual Mobile,https://mutualmobile.com?utm_medium=referral&utm_source=clutch&utm_campaign=Clutch%20Sponsorship&utm_content=Mobile%20Application%20Developers,"Austin, TX",4.9,$150 - $199 / hr,"$25,000+",50 - 249,512-615-1800
57,Eleviant Tech,https://www.eleviant.com/mobile-app-development-services/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Richardson, TX",4.7,$25 - $49 / hr,"$25,000+",250 - 999,9723468186
58,AppTailors,https://apptailors.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Poznań, Poland",5.0,$50 - $99 / hr,"$10,000+",10 - 49,+48690628779
59,Ajath,http://www.ajath.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-app-developers,"دبي, United Arab Emirates",4.9,$25 - $49 / hr,"$10,000+",50 - 249,+971504313932
60,Moove It,https://moove-it.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-development,"Austin, TX",4.8,$50 - $99 / hr,"$100,000+",50 - 249,(512) 949-8991
61,Steelkiwi,https://steelkiwi.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Belmont, CA",4.8,$25 - $49 / hr,"$50,000+",50 - 249,+1 415-449-8696
62,Plathanus,https://plathanus.com.br?utm_source=clutch.co/&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Palhoça, Brazil",5.0,$50 - $99 / hr,"$25,000+",10 - 49,554833748922
63,Sapphire Software Solutions,https://sapphiresolutions.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Ahmedabad, India",5.0,< $25 / hr,"$5,000+",250 - 999,+91 9099019543
64,Onetree,https://onetree.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Montevideo, Uruguay",4.7,$50 - $99 / hr,"$10,000+",50 - 249,(347) 474 0023
65,Mtoag Technologies Pvt LTD.,https://www.mtoag.com/,"New Jersey, NJ",4.9,$25 - $49 / hr,"$5,000+",50 - 249,+ 1 (856) 272-1112
66,Clover Studio,https://clover.studio,"Zagreb, Croatia",5.0,$25 - $49 / hr,"$5,000+",10 - 49,385.1.375.5381
67,You are launched,https://www.urlaunched.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Dnipro, Ukraine",5.0,$50 - $99 / hr,"$10,000+",10 - 49,+380939715523
68,Origami Studios,https://origamistudios.us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Parsippany-Troy Hills, NJ",4.9,$25 - $49 / hr,"$5,000+",10 - 49,(888) 405-8645
69,Magora Systems,https://www.magora-systems.com/?utm_source=clutch.co&utm_medium=sponsored&utm_campaign=directory-mobile-application-developers,"London, United Kingdom",4.7,$50 - $99 / hr,"$10,000+",50 - 249,+442071835820
70,Alphonic Network Solutions,https://www.alphonic.in/?utm_source=clutch.co&utm_medium=mobile-application-developers,"Jaipur, India",4.9,$25 - $49 / hr,"$1,000+",50 - 249,9887133338
71,Futured,http://www.futured.app/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-app-developers,"Brno, Czech Republic",5.0,$50 - $99 / hr,"$50,000+",50 - 249,420605312459
72,Enozom Software,https://enozom.com,"Alexandria, Egypt",4.9,$25 - $49 / hr,"$50,000+",10 - 49,+203 5866344
73,Somnio Software,https://somniosoftware.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Montevideo, Uruguay",5.0,$50 - $99 / hr,"$10,000+",10 - 49,+598 98 168 142
74,GeekyAnts,https://geekyants.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"San Francisco, CA",4.8,$25 - $49 / hr,"$5,000+",250 - 999,+1(415)2759099
75,ThinkUp,https://thinkupsoft.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Montevideo, Uruguay",5.0,$50 - $99 / hr,"$10,000+",10 - 49,45622769
76,Big Nerd Ranch,https://www.bignerdranch.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Atlanta, GA",4.9,$150 - $199 / hr,"$100,000+",250 - 999,770 - 817 - 6373
77,New Line Technologies,http://newline.tech/?utm_source=clutch.co&utm_medium=referral,"Kharkiv, Ukraine",4.9,$25 - $49 / hr,"$25,000+",50 - 249,+380 73 147 0888
78,AppUnite,https://appunite.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=app-developers-global,"Poznań, Poland",4.9,$50 - $99 / hr,"$50,000+",50 - 249,+48 532 568 641
79,Calibrate Software,https://calibrated.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Chicago, IL",4.9,$50 - $99 / hr,"$25,000+",10 - 49,773-282-2073
80,JAFTON,https://jafton.com/,"New York, NY",4.7,$50 - $99 / hr,"$25,000+",10 - 49,(212) 499-0000
81,SparxIT,https://www.sparxitsolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=clutch-mobile-application-developers,"New York, NY",4.8,$25 - $49 / hr,"$10,000+",250 - 999,9177759550
82,Horus,https://horus.com.uy/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Montevideo, Uruguay",5.0,$50 - $99 / hr,"$10,000+",2 - 9,+59893768792
83,SoftwareHut,https://www.softwarehut.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Białystok, Poland",4.8,$25 - $49 / hr,"$5,000+",250 - 999,+48 693 420 078
84,Heveloon ltd,https://www.heveloon.co.uk/?utm_source=clutch.co&utm_medium=referral&utm_campaign=app-developers,"London, United Kingdom",5.0,$100 - $149 / hr,"$25,000+",10 - 49,+447377168986
85,Nickelfox,http://www.nickelfox.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Noida, India",4.9,$25 - $49 / hr,"$25,000+",50 - 249,+91 9810606957
86,WorkinGeeks,https://workingeeks.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"London, United Kingdom",4.8,$50 - $99 / hr,"$25,000+",10 - 49,+44 7942 369920
87,Tooploox,https://www.tooploox.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Wrocław, Poland",4.9,$100 - $149 / hr,"$25,000+",50 - 249,0048733888088
88,Rubikal,https://rubikal.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Alexandria, Egypt",4.8,$25 - $49 / hr,"$25,000+",50 - 249,00201002715360
89,Old.St Labs,https://old.st/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"London, United Kingdom",5.0,$50 - $99 / hr,"$5,000+",10 - 49,+44 (0)20 3974 1953
90,Coherent Lab LLP,https://www.coherentlab.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Jaipur, India",4.9,< $25 / hr,"$1,000+",10 - 49,07742021725
91,Ars Futura,https://arsfutura.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Zagreb, Croatia",5.0,$50 - $99 / hr,"$25,000+",10 - 49,+380000000000
92,Mindgrub,http://www.mindgrub.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Baltimore, MD",4.8,$100 - $149 / hr,"$50,000+",50 - 249,410-988-2444
93,Instil Software,https://www.instil.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Belfast, United Kingdom",4.9,$100 - $149 / hr,"$50,000+",50 - 249,02890278498
94,Aloa,https://aloa.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Irving, TX",4.9,$50 - $99 / hr,"$1,000+",2 - 9,8477783283
95,Perpetio,http://perpet.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Tallinn, Estonia",4.9,$25 - $49 / hr,"$5,000+",10 - 49,-
96,Mobile Reality,https://mobilereality.pl/en/mobile-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Warszawa, Poland",5.0,$25 - $49 / hr,"$5,000+",10 - 49,(+48) 607 12 61 60
97,CMARIX,https://www.cmarix.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Ahmedabad, India",4.9,< $25 / hr,"$5,000+",50 - 249,09879870009
98,The App Master,http://www.theappmaster.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Buenos Aires, Argentina",4.9,$25 - $49 / hr,"$10,000+",10 - 49,+54 11 5263 9257
99,Zero Molecule,https://zeromolecule.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Zagreb, Croatia",5.0,$50 - $99 / hr,"$10,000+",2 - 9,0912510088
100,"Begin, LLC",https://beginsoftware.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Denver, CO",4.8,$100 - $149 / hr,"$5,000+",2 - 9,8472044261
101,Busy Human,http://busyhuman.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Orem, UT",5.0,$50 - $99 / hr,"$1,000+",2 - 9,+13852830381
