,name,company_url,locality,rating,hourly_rate,min_project_size,employee_size,contact
38,WeSoftYou,https://wesoftyou.com/clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Kyiv, Ukraine",5.0,$25 - $49 / hr,"$25,000+",50 - 249,+1 (855) 739-3935
39,KrishaWeb,https://krishaweb.com/?utm_source=krishaweb.com/&utm_medium=referral&utm_campaign=web-developers,"Loveland, CO",5.0,$50 - $99 / hr,"$1,000+",50 - 249,970-443-0594
40,Unleashed Technologies,https://www.unleashed-technologies.com/top-ranked-web-development-firm-clutch,"Columbia, MD",4.9,$150 - $199 / hr,"$50,000+",10 - 49,4108648980
41,Fooz,http://foozagency.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Katowice, Poland",4.8,$25 - $49 / hr,"$5,000+",10 - 49,+48535132239
42,Develtio,http://www.develtio.com/?utm_source=clutch.co&utm_medium=web-developers,"Warszawa, Poland",5.0,$25 - $49 / hr,"$5,000+",50 - 249,0048508294734
43,Darwin,https://darwinapps.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Reston, VA",4.9,$100 - $149 / hr,"$25,000+",10 - 49,+1 888 411 4311
44,Gearheart.io,https://gearheart.io/,"Kyiv, Ukraine",4.8,$50 - $99 / hr,"$50,000+",10 - 49,+380969784963
45,Isadora Agency,http://isadoradigitalagency.com/?utm_source=clutch-web-developers&utm_medium=cpc&utm_campaign=web-developers&utm_term=w-dev&utm_content=w-dev,"Manhattan Beach, CA",4.7,$150 - $199 / hr,"$100,000+",10 - 49,310-560-4675
46,KeenEthics,https://keenethics.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"L'viv, Ukraine",5.0,$25 - $49 / hr,"$25,000+",50 - 249,+38 094 710 6105
47,InnoSource Technology,https://innosourcetech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Southampton, United Kingdom",5.0,$50 - $99 / hr,"$10,000+",10 - 49,+44 (238) 2280033
48,hedgehog lab,https://hedgehoglab.com/?utm_source=clutch&utm_medium=web_development_list&utm_campaign=clutch,"Newcastle upon Tyne, United Kingdom",4.7,$100 - $149 / hr,"$100,000+",50 - 249,03332423132
49,Lionwood.software,https://lionwood.software/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"L'viv, Ukraine",4.9,$25 - $49 / hr,"$25,000+",50 - 249,+380985918237
50,Attract Group,https://attractgroup.com/?utm_source=clutch.co&utm_medium=cpc&utm_campaign=web-developers,"Odesa, Ukraine",5.0,$25 - $49 / hr,"$5,000+",10 - 49,+1 951 289 0007
51,Trigma,https://trigma.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Las Vegas, NV",5.0,< $25 / hr,"$5,000+",50 - 249,+17029075006
52,Icreon,https://www.icreon.com/en/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"New York, NY",5.0,$100 - $149 / hr,"$50,000+",250 - 999,2127066021
53,OTAKOYI,https://otakoyi.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"L'viv, Ukraine",4.8,$25 - $49 / hr,"$25,000+",50 - 249,380985638190
54,Promatics Technologies,https://www.promaticsindia.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Gurugram, India",4.9,< $25 / hr,"$10,000+",50 - 249,+91-788-8492652
55,Appetite Creative,https://www.appetitecreative.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"London, United Kingdom",4.8,$150 - $199 / hr,"$10,000+",2 - 9,447814394310
56,HyperSense Software,https://hypersense-software.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"București, Romania",4.8,$50 - $99 / hr,"$25,000+",10 - 49,+40 726 848490
57,Mutual Mobile,https://mutualmobile.com?utm_medium=referral&utm_source=clutch&utm_campaign=Clutch%20Sponsorship&utm_content=Web%20Developers,"Austin, TX",4.9,$150 - $199 / hr,"$25,000+",50 - 249,512-615-1800
58,Flexum,https://flexum.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-development,"L'viv, Ukraine",5.0,$50 - $99 / hr,"$50,000+",10 - 49,+380963504780
59,"Smart Tek SaS, LLC",http://www.smartteksas.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-development,"Piscataway, NJ",4.9,$25 - $49 / hr,"$10,000+",250 - 999,+19295909011
60,Small Planet,http://smallplanet.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"New York, NY",4.8,$100 - $149 / hr,"$100,000+",10 - 49,718-797-5659
61,Danavero Inc.,https://danavero.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Burlington, Canada",4.9,$25 - $49 / hr,"$5,000+",50 - 249,6479487708
62,Lexogrine,https://lexogrine.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Kraków, Poland",5.0,$25 - $49 / hr,"$5,000+",10 - 49,+48 661442998
63,AnyforSoft,https://anyforsoft.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-development,"Sarasota, FL",4.9,$50 - $99 / hr,"$10,000+",50 - 249,+1 (941) 932-8580
64,Computan,https://www.computan.com/?utm_source=clutch.co&utm_medium=referrall&utm_campaign=web-developers,"Thorold, Canada",4.8,$25 - $49 / hr,"$1,000+",50 - 249,905.984.8388
65,CognitiveClouds,https://www.cognitiveclouds.com/custom-software-development-services/?utm_source=clutch.co&utm_medium=referral,"Fremont, CA",4.6,$25 - $49 / hr,"$50,000+",50 - 249,415-234-3611
66,Incora,https://incora.software/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"L'viv, Ukraine",5.0,$25 - $49 / hr,"$25,000+",50 - 249,+380932319954
67,Emergent Software,https://web.emergentsoftware.net/web-development-us-clutch,"Saint Paul, MN",4.9,$150 - $199 / hr,"$25,000+",10 - 49,612-217-0747
68,Apptension,https://www.apptension.com/services/web-development?utm_source=clutch&utm_medium=cpc&utm_campaign=web_developers,"Poznań, Poland",4.8,$50 - $99 / hr,"$25,000+",50 - 249,+1 (213) 349-4722
69,Velir,https://www.velir.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Somerville, MA",5.0,$150 - $199 / hr,"$100,000+",50 - 249,+1617-491-6900
70,WillDom,https://willdom.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Fort Lauderdale, FL",5.0,$50 - $99 / hr,"$50,000+",250 - 999,(415) 692-5508
71,Axisbits GmbH,https://axisbits.com/?utm_source=clutch&utm_medium=referral&utm_campaign=web-developers,"Zürich, Switzerland",5.0,$50 - $99 / hr,"$10,000+",10 - 49,+41 52 560 23 41
72,AppUnite,https://appunite.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers-global,"Poznań, Poland",4.9,$50 - $99 / hr,"$50,000+",50 - 249,+48 532 568 641
73,Wildebeest,https://wildebee.st/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Marina del Rey, CA",4.9,Undisclosed,"$50,000+",2 - 9,(424) 645-7552
74,SWEHQ,https://swehq.com,"Prague, Czech Republic",4.9,$50 - $99 / hr,"$10,000+",10 - 49,+420777319931
75,Chop-Chop,https://chop-chop.org/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Wrocław, Poland",4.9,$50 - $99 / hr,"$5,000+",10 - 49,0048515903993
76,Rubikal,https://rubikal.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Alexandria, Egypt",4.8,$25 - $49 / hr,"$25,000+",50 - 249,00201002715360
77,Brights,https://brights.io/?utm_source=clutch&utm_medium=referral&utm_campaign=web-developers,"Warszawa, Poland",5.0,$25 - $49 / hr,"$5,000+",50 - 249,+48732988415
78,Mindgrub,http://www.mindgrub.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Baltimore, MD",4.8,$100 - $149 / hr,"$50,000+",50 - 249,410-988-2444
79,FABA Technology,https://fabatechnology.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Ho Chi Minh City, Vietnam",4.8,$25 - $49 / hr,"$25,000+",10 - 49,(+84) 96 923 2345
80,Ragnarson,https://ragnarson.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Łódź, Poland",4.8,$50 - $99 / hr,"$5,000+",10 - 49,+49 (0) 151 726 227 46
81,mDevelopers,https://mdevelopers.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Warszawa, Poland",5.0,$25 - $49 / hr,"$25,000+",10 - 49,+48 502-383-053
82,Childish,https://www.childish.eu/en/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"London, United Kingdom",5.0,$25 - $49 / hr,"$10,000+",50 - 249,+359897443204
83,Hero Team,https://heroteam.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"London, United Kingdom",4.9,$100 - $149 / hr,"$25,000+",2 - 9,07904485640
84,Yugasa Software Labs,https://yugasa.com/web-design-and-developers-in-india/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Gurugram, India",4.8,< $25 / hr,"$10,000+",50 - 249,91 8800522257
85,iRonin.IT,https://www.ironin.it/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Warszawa, Poland",4.9,$50 - $99 / hr,"$10,000+",10 - 49,+48 (22) 397 8866
86,Mobile Reality,https://mobilereality.pl/en/web-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Warszawa, Poland",5.0,$25 - $49 / hr,"$5,000+",10 - 49,(+48) 607 12 61 60
87,Eton Digital,https://www.etondigital.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"London, United Kingdom",4.9,$50 - $99 / hr,"$5,000+",50 - 249,02039255843
88,CoreLine,https://coreline.agency/?utm_source=clutch.co&utm_medium=referral,"Zagreb, Croatia",4.9,$50 - $99 / hr,"$5,000+",10 - 49,00385989197815
89,Inflection Point,http://www.ipointsystems.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Columbia, MD",4.8,$50 - $99 / hr,"$25,000+",50 - 249,4432558527
90,Codeq,https://codeq.pl/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Gdańsk, Poland",5.0,$50 - $99 / hr,"$10,000+",10 - 49,+48505090804
91,Busy Human,http://busyhuman.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Orem, UT",5.0,$50 - $99 / hr,"$1,000+",2 - 9,+13852830381
92,Vinta Software,https://www.vintasoftware.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,"Recife, Brazil",4.8,$50 - $99 / hr,"$10,000+",50 - 249,5581991110470
